Pattern,ErrorRate
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.00022857142857142857
8,0.00075
9,0.001088888888888889
10,0.0064600000000000005
11,0.004836363636363636
12,0.012350000000000002
13,0.012523076923076923
14,0.022471428571428576
15,0.035026666666666664
16,0.044175000000000006
17,0.04904705882352941
18,0.06465555555555555
19,0.0890421052631579
20,0.09758999999999998
21,0.12824761904761903
22,0.13879999999999998
23,0.16141739130434782
24,0.17868333333333336
25,0.17458400000000002
26,0.20290769230769232
27,0.21988148148148148
28,0.22125714285714287
29,0.23150344827586206
30,0.24874666666666667
31,0.24452903225806455
32,0.26138125
33,0.2593272727272727
34,0.26840588235294116
35,0.27148
36,0.27558333333333335
37,0.28192432432432435
38,0.27570526315789473
39,0.28639487179487183
40,0.28384
41,0.2851804878048781
42,0.29347619047619045
43,0.29060465116279066
44,0.29517727272727273
45,0.29327555555555557
46,0.2948521739130435
47,0.3059021276595745
48,0.2996916666666667
49,0.302865306122449
